Palabra	(Archivo, Cantidad)
#100	(2,1) 
#renunciaya	(1,1) 
*ǵerh₂-	(2,1) 
+	(2,1) 
-	(2,15) (1,5) (5,2) 
-->	(2,1) 
-concertación	(6,1) 
-iculum	(3,1) 
-il	(3,1) 
-ilium	(3,1) 
-the	(5,1) 
-y	(1,1) 
/	(1,5) (9,1) (3,1) (2,2) 
/n/	(2,1) 
0	(1,2) 
00	(2,4) 
00/bbl	(5,1) 
0001%	(2,1) 
000in	(2,1) 
001%	(1,1) 
0013	(1,1) 
002%	(1,1) 
003%	(1,2) 
004%	(1,1) 
004-2016-mc	(2,1) 
006%	(1,4) (3,1) 
007%	(3,1) (1,1) 
01	(2,1) (1,1) 
01%	(1,3) (2,2) (7,2) 
011%	(1,1) (2,1) 
013%	(1,1) 
014	(2,1) 
014%	(9,1) 
02	(4,1) (2,2) 
023%	(1,1) 
025%	(2,2) 
026	(1,1) 
0268	(1,1) 
03	(2,5) (4,1) 
03%	(1,2) (2,2) 
032%	(2,1) 
033	(2,1) (1,1) 
036%	(2,1) 
0371	(2,1) 
039	(1,1) 
04	(2,1) 
04%	(1,2) (2,1) 
04%in	(1,1) 
043%	(2,1) 
047one	(1,1) 
05	(1,1) (2,2) (6,1) 
05%	(6,1) (7,1) 
05%in	(1,1) 
053%given	(2,1) 
055	(1,1) 
058	(2,1) 
058%	(1,1) 
06	(1,2) (2,1) 
06%	(1,3) (2,1) 
06%in	(3,1) 
06000	(2,1) 
07	(2,4) 
07%	(2,4) (1,2) (5,1) 
070%	(2,1) 
074%	(0,1) 
077	(2,1) 
0794	(9,1) 
08	(1,1) 
08%	(3,1) (1,1) 
0859	(7,1) 
0866	(2,1) 
087%	(9,1) 
09	(4,1) (1,1) 
09%	(0,1) (2,1) (1,1) 
09%over	(1,1) 
095%	(2,1) 
0951	(3,1) 
0°	(5,1) 
1	(5,5) (3,1) (1,32) (4,2) (2,40) (0,2) (9,4) (6,3) (7,7) 
1%	(1,5) (5,3) (3,1) (2,9) (9,1) (7,2) 
1/2	(9,1) 
1/3rd	(1,1) 
10	(1,28) (9,2) (2,22) (4,6) (3,6) (0,3) (5,1) (7,1) (6,3) 
10%	(2,15) (1,12) (5,1) (0,1) (7,1) (6,3) 
10-metre	(4,1) 
10-point	(1,1) 
10-year	(2,2) 
100	(2,17) (1,14) (4,3) (5,2) (3,1) (0,1) (7,1) 
100%	(2,4) (5,2) (1,1) (0,1) (7,1) 
1000	(2,22) (5,4) (1,17) (4,1) (7,1) (3,2) (0,4) 
10000	(2,12) (5,1) (1,10) (4,1) (6,1) 
100000	(1,15) (2,15) (5,5) (7,1) (3,6) (0,1) 
1000000	(9,1) (2,1) (5,1) (1,2) 
100000in	(2,1) 
1000the	(2,1) 
1000–1519	(1,1) 
